id,park_id,amenity_id,description,created_at,updated_at
1,1,2,,"2009-11-17 02:13:52","2009-11-17 02:13:52"
2,1,3,,"2009-11-17 02:13:52","2009-11-17 02:13:52"
3,1,4,,"2009-11-17 02:13:52","2009-11-17 02:13:52"
4,1,5,"<a href=""http://www.traillink.com/ViewTrail.aspx?AcctID=6016362"" target=""_blank""> White Pine Trail </a>","2009-11-17 02:13:52","2009-11-18 15:32:10"
5,1,6,"Three - Island, Riverbend & Bandshell","2009-11-17 02:13:52","2012-05-02 20:18:13"
6,1,7,,"2009-11-17 02:13:52","2009-11-18 15:05:04"
7,1,8,two,"2009-11-17 02:13:52","2012-05-02 20:18:13"
8,1,9,,"2009-11-17 02:13:52","2009-11-17 02:13:52"
9,1,10,two,"2009-11-17 02:13:52","2012-05-02 20:18:13"
10,1,11,"seven <a href=""http://northernlittleleague.com"" target=""_blank""> Northern Little League </a> ","2009-11-17 02:13:52","2012-05-02 20:18:13"
14,3,3,,"2010-01-04 22:26:23","2010-01-04 22:26:23"
15,3,6,,"2010-01-04 22:26:23","2010-01-04 22:26:23"
17,3,8,"renovated 2011","2010-01-04 22:26:23","2012-04-18 16:34:11"
18,3,9,,"2010-01-04 22:26:23","2010-01-04 22:26:23"
19,3,10,,"2010-01-04 22:26:23","2010-01-04 22:26:23"
20,3,11,"one field","2010-01-04 22:26:23","2012-05-02 19:54:10"
21,3,12,,"2010-01-04 22:29:44","2010-01-04 22:29:44"
22,5,13,undeveloped,"2010-01-04 22:42:59","2012-04-02 15:35:34"
23,6,9,,"2010-01-04 22:54:58","2010-01-04 22:54:58"
24,6,11,,"2010-01-04 22:54:58","2010-01-04 22:54:58"
25,6,14,,"2010-01-04 22:57:47","2010-01-04 22:57:47"
26,6,3,,"2010-01-04 22:57:47","2010-01-04 22:57:47"
27,7,7,,"2010-01-04 23:01:28","2010-01-04 23:01:28"
28,7,8,"renovated 2011","2010-01-04 23:01:28","2012-04-18 16:27:12"
29,7,9,,"2010-01-04 23:01:28","2010-01-04 23:01:28"
30,7,1,,"2010-01-04 23:01:28","2010-01-04 23:01:28"
31,7,12,,"2010-01-04 23:01:28","2010-01-04 23:01:28"
32,7,2,,"2010-01-04 23:01:28","2010-01-04 23:01:28"
33,7,3,,"2010-01-04 23:01:28","2010-01-04 23:01:28"
34,9,7,,"2010-01-04 23:07:00","2010-01-04 23:07:00"
35,11,3,,"2010-01-04 23:14:55","2010-01-04 23:14:55"
36,11,7,,"2010-01-04 23:14:55","2010-01-04 23:14:55"
37,11,8,,"2010-01-04 23:14:55","2010-01-04 23:14:55"
38,11,9,,"2010-01-04 23:14:55","2010-01-04 23:14:55"
39,11,14,,"2010-01-04 23:14:55","2010-01-04 23:14:55"
40,11,11,,"2010-01-04 23:14:55","2010-01-04 23:14:55"
41,11,12,,"2010-01-04 23:14:55","2010-01-04 23:14:55"
42,13,2,,"2010-01-04 23:21:21","2010-01-04 23:21:21"
43,13,3,,"2010-01-04 23:21:21","2010-01-04 23:21:21"
44,13,7,,"2010-01-04 23:21:21","2010-01-04 23:21:21"
45,13,8,,"2010-01-04 23:21:21","2010-01-04 23:21:21"
46,13,9,,"2010-01-04 23:21:21","2010-01-04 23:21:21"
47,13,10,,"2010-01-04 23:21:21","2010-01-04 23:21:21"
48,13,22,,"2010-01-04 23:21:21","2012-04-18 16:29:07"
49,13,11,,"2010-01-04 23:21:21","2010-01-04 23:21:21"
50,14,8,,"2010-01-04 23:24:26","2010-01-04 23:24:26"
51,14,10,,"2010-01-04 23:24:26","2010-01-04 23:24:26"
52,14,11,,"2010-01-04 23:24:26","2010-01-04 23:24:26"
53,14,12,,"2010-01-04 23:24:26","2010-01-04 23:24:26"
54,14,3,,"2010-01-04 23:24:26","2010-01-04 23:24:26"
55,14,15,,"2010-01-04 23:25:05","2010-01-04 23:25:05"
56,15,2,,"2010-01-04 23:40:12","2010-01-04 23:40:12"
57,15,13,,"2010-01-04 23:40:12","2010-01-04 23:40:12"
58,15,3,,"2010-01-04 23:40:12","2010-01-04 23:40:12"
59,15,4,,"2010-01-04 23:40:12","2010-01-04 23:40:12"
60,15,6,,"2010-01-04 23:40:12","2010-01-04 23:40:12"
61,15,7,,"2010-01-04 23:40:12","2010-01-04 23:40:12"
62,15,8,,"2010-01-04 23:40:12","2010-01-04 23:40:12"
63,15,9,,"2010-01-04 23:40:12","2010-01-04 23:40:12"
64,15,11,,"2010-01-04 23:40:12","2010-01-04 23:40:12"
65,17,7,,"2010-01-04 23:45:55","2010-01-04 23:45:55"
66,17,3,,"2010-01-04 23:45:55","2010-01-04 23:45:55"
67,17,7,,"2010-01-04 23:45:55","2010-01-04 23:45:55"
68,17,8,,"2010-01-04 23:45:55","2010-01-04 23:45:55"
69,17,9,,"2010-01-04 23:45:55","2010-01-04 23:45:55"
70,17,11,,"2010-01-04 23:45:55","2010-01-04 23:45:55"
71,17,12,,"2010-01-04 23:45:55","2010-01-04 23:45:55"
72,17,16,,"2010-01-04 23:47:02","2010-01-04 23:47:02"
73,20,8,,"2010-01-05 02:43:17","2010-01-05 02:43:17"
74,20,9,,"2010-01-05 02:43:17","2010-01-05 02:43:17"
75,20,10,,"2010-01-05 02:43:17","2010-01-05 02:43:17"
76,20,3,,"2010-01-05 02:43:17","2010-01-05 02:43:17"
77,20,14,,"2010-01-05 02:43:17","2010-01-05 02:43:17"
78,20,11,,"2010-01-05 02:43:17","2010-01-05 02:43:17"
79,20,12,,"2010-01-05 02:43:17","2010-01-05 02:43:17"
80,21,4,,"2010-01-05 02:46:41","2010-01-05 02:46:41"
81,21,3,,"2010-01-05 02:46:41","2010-01-05 02:46:41"
82,23,7,,"2010-01-05 02:51:21","2010-01-05 02:51:21"
83,23,9,,"2010-01-05 02:51:21","2010-01-05 02:51:21"
84,24,13,,"2010-01-05 02:54:22","2010-01-05 02:54:22"
85,24,3,,"2010-01-05 02:54:22","2010-01-05 02:54:22"
86,24,4,,"2010-01-05 02:54:22","2010-01-05 02:54:22"
87,24,7,,"2010-01-05 02:54:22","2010-01-05 02:54:22"
88,25,4,,"2010-01-05 02:56:58","2010-01-05 02:56:58"
89,25,7,,"2010-01-05 02:56:58","2010-01-05 02:56:58"
90,25,8,,"2010-01-05 02:56:58","2010-01-05 02:56:58"
91,25,9,,"2010-01-05 02:56:58","2010-01-05 02:56:58"
92,25,3,,"2010-01-05 02:56:58","2010-01-05 02:56:58"
93,27,7,,"2010-01-05 03:48:20","2010-01-05 03:48:20"
94,27,8,,"2010-01-05 03:48:20","2010-01-05 03:48:20"
95,27,12,,"2010-01-05 03:48:20","2010-01-05 03:48:20"
96,28,3,,"2010-01-05 03:50:00","2010-01-05 03:50:00"
97,28,9,,"2010-01-05 03:50:00","2010-01-05 03:50:00"
98,31,11,,"2010-01-05 03:56:49","2010-01-05 03:56:49"
99,31,12,,"2010-01-05 03:56:49","2010-01-05 03:56:49"
100,31,14,,"2010-01-05 03:56:49","2010-01-05 03:56:49"
101,31,8,,"2010-01-05 03:56:49","2010-01-05 03:56:49"
102,31,3,,"2010-01-05 03:56:49","2010-01-05 03:56:49"
103,31,9,,"2010-01-05 03:56:49","2010-01-05 03:56:49"
104,32,3,,"2010-01-05 03:59:47","2010-01-05 03:59:47"
105,32,2,,"2010-01-05 03:59:47","2010-01-05 03:59:47"
106,32,7,,"2010-01-05 03:59:47","2010-01-05 03:59:47"
107,32,8,,"2010-01-05 03:59:47","2010-01-05 03:59:47"
108,32,9,,"2010-01-05 03:59:47","2010-01-05 03:59:47"
109,32,22,,"2010-01-05 03:59:47","2012-04-18 16:29:43"
110,32,14,,"2010-01-05 03:59:47","2010-01-05 03:59:47"
111,32,11,,"2010-01-05 03:59:47","2010-01-05 03:59:47"
112,32,12,,"2010-01-05 03:59:47","2010-01-05 03:59:47"
113,32,17,"with Restroom","2010-01-05 04:00:26","2010-01-05 04:00:26"
114,34,7,,"2010-01-05 04:08:37","2010-01-05 04:08:37"
115,34,9,,"2010-01-05 04:08:37","2010-01-05 04:08:37"
116,37,2,,"2010-01-06 01:39:30","2010-01-06 01:39:30"
117,37,13,,"2010-01-06 01:39:30","2010-01-06 01:39:30"
118,37,3,,"2010-01-06 01:39:30","2010-01-06 01:39:30"
119,37,7,,"2010-01-06 01:39:30","2010-01-06 01:39:30"
120,37,8,,"2010-01-06 01:39:30","2010-01-06 01:39:30"
121,37,9,,"2010-01-06 01:39:30","2010-01-06 01:39:30"
122,37,1,,"2010-01-06 01:39:30","2010-01-06 01:39:30"
123,37,14,,"2010-01-06 01:39:30","2010-01-06 01:39:30"
124,37,11,one,"2010-01-06 01:39:30","2012-05-31 01:31:49"
125,37,12,one,"2010-01-06 01:39:30","2012-05-31 01:31:49"
126,37,17,"with Restrooms","2010-01-06 01:39:30","2010-01-06 01:39:30"
128,41,6,,"2010-01-06 02:17:41","2010-01-06 02:17:41"
129,41,7,,"2010-01-06 02:17:41","2010-01-06 02:17:41"
130,41,9,,"2010-01-06 02:17:41","2010-01-06 02:17:41"
131,41,3,,"2010-01-06 02:17:42","2010-01-06 02:17:42"
132,41,4,,"2010-01-06 02:17:42","2010-01-06 02:17:42"
133,42,11,,"2010-01-06 02:27:48","2010-01-06 02:27:48"
134,42,12,,"2010-01-06 02:27:48","2010-01-06 02:27:48"
135,42,8,,"2010-01-06 02:27:48","2010-01-06 02:27:48"
136,42,3,,"2010-01-06 02:27:48","2010-01-06 02:27:48"
137,42,9,,"2010-01-06 02:27:48","2010-01-06 02:27:48"
138,43,11,,"2010-01-06 02:37:48","2010-01-06 02:37:48"
139,43,9,,"2010-01-06 02:37:48","2010-01-06 02:37:48"
140,44,7,,"2010-01-06 02:50:59","2010-01-06 02:50:59"
141,44,8,,"2010-01-06 02:50:59","2010-01-06 02:50:59"
142,46,4,,"2010-01-06 02:55:27","2010-01-06 02:55:27"
143,46,13,,"2010-01-06 02:55:27","2010-01-06 02:55:27"
144,47,10,,"2010-01-06 02:57:19","2010-01-06 02:57:19"
145,47,11,,"2010-01-06 02:57:19","2010-01-06 02:57:19"
146,47,6,,"2010-01-06 02:57:19","2010-01-06 02:57:19"
147,47,7,,"2010-01-06 02:57:19","2010-01-06 02:57:19"
148,48,7,,"2010-01-06 02:59:20","2010-01-06 02:59:20"
149,48,8,,"2010-01-06 02:59:20","2010-01-06 02:59:20"
150,48,12,,"2010-01-06 02:59:20","2010-01-06 02:59:20"
151,49,7,,"2010-01-06 03:01:53","2010-01-06 03:01:53"
152,49,8,"- two of them: Toddler and more Advanced","2010-01-06 03:01:53","2010-02-11 20:19:49"
153,49,9,"- available on limited basis ","2010-01-06 03:01:53","2010-02-11 20:19:49"
154,49,14,,"2010-01-06 03:01:53","2010-01-06 03:01:53"
155,49,12,,"2010-01-06 03:01:53","2010-01-06 03:01:53"
156,50,8,,"2010-01-06 04:09:06","2010-01-06 04:09:06"
157,51,7,,"2010-01-10 23:22:18","2010-01-10 23:22:18"
158,51,8,,"2010-01-10 23:22:18","2010-01-10 23:22:18"
159,51,12,,"2010-01-10 23:22:18","2010-01-10 23:22:18"
160,53,3,,"2010-01-11 02:22:21","2010-01-11 02:22:21"
161,53,9,,"2010-01-11 02:22:21","2010-01-11 02:22:21"
162,54,18,,"2010-01-11 02:26:52","2010-01-11 02:26:52"
163,54,2,,"2010-01-11 02:26:52","2010-01-11 02:26:52"
164,54,3,,"2010-01-11 02:26:52","2010-01-11 02:26:52"
165,54,6,two,"2010-01-11 02:26:52","2012-05-02 20:04:45"
166,54,7,,"2010-01-11 02:26:52","2010-01-11 02:26:52"
167,54,8,,"2010-01-11 02:26:52","2010-01-11 02:26:52"
168,54,9,,"2010-01-11 02:26:52","2010-01-11 02:26:52"
169,54,14,three,"2010-01-11 02:26:52","2012-05-02 20:04:45"
170,54,11,,"2010-01-11 02:26:52","2010-01-11 02:26:52"
171,54,12,,"2010-01-11 02:26:52","2010-01-11 02:26:52"
172,57,3,,"2010-01-11 02:34:58","2010-01-11 02:34:58"
173,57,9,,"2010-01-11 02:34:58","2010-01-11 02:34:58"
174,58,7,,"2010-01-11 02:38:40","2010-01-11 02:38:40"
175,58,8,,"2010-01-11 02:38:40","2010-01-11 02:38:40"
176,59,4,,"2010-01-11 02:43:25","2010-01-11 02:43:25"
177,59,8,,"2010-01-11 02:43:25","2010-01-11 02:43:25"
178,59,9,,"2010-01-11 02:43:25","2010-01-11 02:43:25"
179,59,11,,"2010-01-11 02:43:25","2010-01-11 02:43:25"
180,60,6,,"2010-01-11 02:52:04","2010-01-11 02:52:04"
181,60,7,,"2010-01-11 02:52:04","2010-01-11 02:52:04"
182,60,8,,"2010-01-11 02:52:04","2010-01-11 02:52:04"
183,60,9,,"2010-01-11 02:52:04","2010-01-11 02:52:04"
184,60,1,,"2010-01-11 02:52:04","2010-01-11 02:52:04"
185,60,14,,"2010-01-11 02:52:04","2010-01-11 02:52:04"
186,60,11,,"2010-01-11 02:52:04","2010-01-11 02:52:04"
187,60,12,,"2010-01-11 02:52:04","2010-01-11 02:52:04"
188,60,2,,"2010-01-11 02:52:04","2010-01-11 02:52:04"
189,60,3,,"2010-01-11 02:52:04","2010-01-11 02:52:04"
190,61,2,,"2010-01-11 02:58:28","2010-01-11 02:58:28"
191,61,3,,"2010-01-11 02:58:28","2010-01-11 02:58:28"
192,61,4,,"2010-01-11 02:58:28","2010-01-11 02:58:28"
193,61,6,,"2010-01-11 02:58:28","2010-01-11 02:58:28"
194,61,7,,"2010-01-11 02:58:28","2010-01-11 02:58:28"
195,61,8,,"2010-01-11 02:58:28","2010-01-11 02:58:28"
196,61,9,,"2010-01-11 02:58:28","2010-01-11 02:58:28"
197,61,10,,"2010-01-11 02:58:28","2010-01-11 02:58:28"
198,61,14,,"2010-01-11 02:58:28","2010-01-11 02:58:28"
199,61,11,,"2010-01-11 02:58:28","2010-01-11 02:58:28"
200,61,12,,"2010-01-11 02:58:28","2010-01-11 02:58:28"
201,62,8,,"2010-01-11 03:02:37","2010-01-11 03:02:37"
202,63,3,,"2010-01-11 03:06:38","2010-01-11 03:06:38"
203,63,7,,"2010-01-11 03:06:38","2010-01-11 03:06:38"
204,63,8,,"2010-01-11 03:06:38","2010-01-11 03:06:38"
205,63,9,,"2010-01-11 03:06:38","2010-01-11 03:06:38"
206,63,14,,"2010-01-11 03:06:38","2010-01-11 03:06:38"
207,63,16,,"2010-01-11 03:06:38","2010-01-11 03:06:38"
208,63,11,,"2010-01-11 03:06:38","2010-01-11 03:06:38"
209,63,12,,"2010-01-11 03:06:38","2010-01-11 03:06:38"
210,66,3,,"2010-01-11 03:21:14","2010-01-11 03:21:14"
211,66,4,,"2010-01-11 03:21:14","2010-01-11 03:21:14"
212,66,8,,"2010-01-11 03:21:14","2010-01-11 03:21:14"
213,66,9,,"2010-01-11 03:21:14","2010-01-11 03:21:14"
214,66,10,,"2010-01-11 03:21:14","2010-01-11 03:21:14"
215,66,14,,"2010-01-11 03:21:14","2010-01-11 03:21:14"
216,66,11,,"2010-01-11 03:21:14","2010-01-11 03:21:14"
217,66,12,,"2010-01-11 03:21:14","2010-01-11 03:21:14"
218,68,9,,"2010-01-11 03:30:07","2010-01-11 03:30:07"
